5020419,74,35,55,31,17,52,64,61,12,13,13
5020420,4,2,3,2,1,3,2,2,0,1,1
5020521,11,7,9,6,4,9,11,9,2,3,3
5020522,47,27,34,20,13,34,40,39,9,11,11
5020523,71,44,53,31,21,52,61,57,14,18,17
5020524,66,35,62,28,15,57,68,55,11,14,14
5020625,63,43,48,31,17,44,52,57,12,13,12
5020626,104,71,63,47,34,67,78,94,25,25,25
5020627,24,18,17,13,7,17,19,24,6,6,6
5020628,25,17,18,15,6,17,22,24,4,5,4
5020629,54,31,49,20,12,47,53,48,11,12,12
5030730,15,8,10,5,6,10,11,9,3,5,4
5030731,85,52,59,41,26,58,69,77,18,21,21
5030832,75,46,51,30,29,48,55,59,19,21,21
5030833,5,2,3,1,1,3,3,2,1,1,1
5040934,28,13,29,9,8,27,32,22,4,8,8
5040935,2,1,2,1,1,2,3,2,1,1,1
5040936,60,25,65,19,16,59,69,44,7,16,16
5040937,21,17,23,8,4,20,24,19,5,6,6
5040938,32,17,33,12,8,31,36,24,4,8,8
6010101,60,48,47,28,17,45,53,64,17,15,15
6010102,48,26,29,15,19,32,35,41,16,17,17
6010103,33,21,21,12,16,23,27,31,11,13,13
6010204,53,33,34,22,17,36,40,47,12,12,12
6010205,60,36,44,26,18,43,50,53,13,14,14
6010206,62,50,37,31,21,39,44,61,19,16,16
6010207,51,39,33,23,16,35,40,54,16,14,14
6010208,38,25,26,13,13,28,31,37,12,13,13
6010209,61,40,37,25,21,39,45,54,18,16,16
6010210,30,29,20,17,10,20,22,34,9,8,8
6020301,47,29,38,22,11,35,43,41,10,10,10
6020302,54,49,42,30,16,42,48,59,15,13,12
6020303,56,32,38,24,17,37,43,49,12,12,11
6020304,49,32,37,21,14,37,41,51,13,13,13
6020305,90,69,63,45,25,62,71,91,22,19,19
6020306,54,31,50,21,13,46,54,46,9,13,13
6020407,41,22,31,14,13,30,36,35,10,10,10
6020408,61,38,47,28,16,46,55,54,11,12,12
6020409,76,64,58,35,24,59,67,81,20,17,17
6020410,58,28,47,21,16,45,53,46,10,15,15
